Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Start,End,Season,SeasonNum
10,Getafe,38,13,8,17,43,57,-14,47,2012,2013,2012-2013,20
11,Levante,38,12,10,16,40,57,-17,46,2012,2013,2012-2013,20
12,Athletic Bilbao,38,12,9,17,44,65,-21,45,2012,2013,2012-2013,20
13,Espanyol,38,11,11,16,43,52,-9,44,2012,2013,2012-2013,20
14,Valladolid,38,11,10,17,49,58,-9,43,2012,2013,2012-2013,20
15,Granada,38,11,9,18,37,54,-17,42,2012,2013,2012-2013,20
16,Osasuna,38,10,9,19,33,50,-17,39,2012,2013,2012-2013,20
17,Celta de Vigo,38,10,7,21,37,52,-15,37,2012,2013,2012-2013,20
18,Mallorca,38,9,9,20,43,72,-29,36,2012,2013,2012-2013,20
19,Deportivo La Coruña,38,8,11,19,47,70,-23,35,2012,2013,2012-2013,20
20,Zaragoza,38,9,7,22,37,62,-25,34,2012,2013,2012-2013,20
1,Atlético Madrid,38,28,6,4,77,26,51,90,2013,2014,2013-2014,21
2,Barcelona,38,27,6,5,100,33,67,87,2013,2014,2013-2014,21
3,Real Madrid,38,27,6,5,104,38,66,87,2013,2014,2013-2014,21
4,Athletic Bilbao,38,20,10,8,66,39,27,70,2013,2014,2013-2014,21
5,Sevilla,38,18,9,11,69,52,17,63,2013,2014,2013-2014,21
6,Villarreal,38,17,8,13,60,44,16,59,2013,2014,2013-2014,21
7,Real Sociedad,38,16,11,11,62,55,7,59,2013,2014,2013-2014,21
8,Valencia,38,13,10,15,51,53,-2,49,2013,2014,2013-2014,21
9,Celta de Vigo,38,14,7,17,49,54,-5,49,2013,2014,2013-2014,21
10,Levante,38,12,12,14,35,43,-8,48,2013,2014,2013-2014,21
11,Málaga,38,12,9,17,39,46,-7,45,2013,2014,2013-2014,21
12,Rayo Vallecano,38,13,4,21,46,80,-34,43,2013,2014,2013-2014,21
13,Getafe,38,11,9,18,35,54,-19,42,2013,2014,2013-2014,21
14,Espanyol,38,11,9,18,41,51,-10,42,2013,2014,2013-2014,21
15,Granada,38,12,5,21,32,56,-24,41,2013,2014,2013-2014,21
16,Elche,38,9,13,16,30,50,-20,40,2013,2014,2013-2014,21
17,Almería,38,11,7,20,43,71,-28,40,2013,2014,2013-2014,21
18,Osasuna,38,10,9,19,32,62,-30,39,2013,2014,2013-2014,21
19,Valladolid,38,7,15,16,38,60,-22,36,2013,2014,2013-2014,21
20,Betis,38,6,7,25,36,78,-42,25,2013,2014,2013-2014,21
